Office,CensusPop,raceYear,weird,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,1978,,General,Vermont,"78,181","Snelling, Richard A.",Incumbent,"42,482","Granai, Edwin C.",Challenger,N/A,N/A,N/A,N/A,"3,819","35,699",R,0,64.79,35.21,
Governor,N/A,1978,,General,Wisconsin,"816,056","Dreyfus, Lee S.",Challenger,"673,813","Schreiber, Martin J.",Incumbent,N/A,N/A,N/A,N/A,"11,127","142,243",R,0,54.77,45.23,
Governor,N/A,1978,,General,Wyoming,"67,595","Ostlund, John C.",Challenger,"69,972","Herschler, Ed",Incumbent,N/A,N/A,N/A,N/A,N/A,"2,377",D,0,49.14,50.86,
Governor,N/A,1979,,General,Kentucky,"381,278","Nunn, Louie B.",Challenger,"558,088","Brown, J. Y. Jr.",Challenger,N/A,N/A,N/A,N/A,N/A,"176,810",D,0,40.59,59.41,
Governor,N/A,1979,1208,General,Louisiana,"685,749","Treen, David Conner",Challenger,"672,520","Lambert, Louis",Challenger,N/A,N/A,N/A,N/A,N/A,"13,229",R,0,50.49,49.51,
Governor,N/A,1979,,General,Mississippi,"263,702","Carmichael, Gil",Challenger,"413,620","Winter, William F.",Challenger,N/A,N/A,N/A,N/A,N/A,"149,918",D,0,38.93,61.07,
Governor,N/A,1980,1104,General,Arkansas,"435,684","White, Frank D.",Challenger,"403,241","Clinton, William Jefferson",Incumbent,N/A,N/A,N/A,N/A,N/A,"32,443",R,0,51.93,48.07,
Governor,N/A,1980,1104,General,Delaware,"159,004","duPont, Pierre",Incumbent,"64,217","Gordy, William J.",Challenger,N/A,N/A,N/A,N/A,"1,860","94,787",R,0,71.23,28.77,
Governor,N/A,1980,1104,General,Indiana,"1,258,383","Orr, Robert D.",Challenger,"913,116","Hillenbrand, John A.",Challenger,N/A,N/A,N/A,N/A,"7,904","345,267",R,0,57.95,42.05,
Governor,N/A,1980,1104,General,Missouri,"1,098,950","Bond, Christopher S.",Challenger,"981,884","Teasdale, Joseph P.",Incumbent,N/A,N/A,N/A,N/A,"7,194","117,066",R,0,52.81,47.19,
Governor,N/A,1980,1104,General,Montana,"160,896","Ramirez, Jack",Challenger,"199,574","Schwinden, Ted",Challenger,N/A,N/A,N/A,N/A,N/A,"38,678",D,0,44.64,55.36,
Governor,N/A,1980,1104,General,North Carolina,"691,449","Lake, Beverly",Challenger,"1,143,145","Hunt, James B. Jr.",Incumbent,N/A,N/A,N/A,N/A,"12,838","451,696",D,0,37.69,62.31,
Governor,N/A,1980,1104,General,North Dakota,"162,230","Olson, Allen I.",Challenger,"140,391","Link, Arthur A.",Incumbent,N/A,N/A,N/A,N/A,N/A,"21,839",R,0,53.61,46.39,
Governor,N/A,1980,1104,General,New Hampshire,"156,178","Thomson, Meldrim",Challenger,"226,436","Gallen, Hugh J.",Incumbent,N/A,N/A,N/A,N/A,"1,417","70,258",D,0,40.82,59.18,
Governor,N/A,1980,1104,General,Rhode Island,"106,729","Cianci, Vincent A.",Challenger,"299,174","Garrahy, J. Joseph",Incumbent,N/A,N/A,N/A,N/A,13,"192,445",D,0,26.29,73.71,
